"S+G2/G1"	"EDU"	"AK leakage"	"Resazurin"	"Cell Number"
"PRKR"	0	0	0	0.333333333333333	0
"PDGFRB"	0	1	0	-0.666666666666667	0
"LMTK3"	0	-0.666666666666667	-0.666666666666667	-0.666666666666667	0
"MERTK"	0.333333333333333	0	0.666666666666667	-1	-1
"KIAA1804"	0	0	0	0.333333333333333	-0.333333333333333
"MATK"	0	0	0	-0.333333333333333	0
"MAST2"	0	1	0	-0.666666666666667	-0.333333333333333
"MARK4"	0	0	0	0.333333333333333	-1
"KIAA0999"	0.333333333333333	0	0	0	0.666666666666667
"MARK3"	0	0	0.666666666666667	-1	-1
"MARK2"	0	0	0	0	0
"PCTK3"	0	-0.666666666666667	1	0	0
"PCTK1"	0	0	0.666666666666667	-0.666666666666667	-0.333333333333333
"PRKCH"	0	0	0	-0.666666666666667	0
"PANK4"	0	0	0	0	0
"JAK2"	0	1	0	0.666666666666667	0.333333333333333
"MAPK8IP2"	0	-1	0	-0.666666666666667	-0.333333333333333
"PRKCA"	0	0	0	0.666666666666667	0
"PRKAR2B"	0	0	0	-0.666666666666667	0
"PRKAG3"	0.333333333333333	0	0	0	-0.333333333333333
"ITPK1"	0	0	-0.333333333333333	0.666666666666667	0.666666666666667
"IRS1"	0	0.666666666666667	0	-0.333333333333333	-1
"MAPK3"	0	0	-1	0	0
"MAPK12"	0	1	1	-1	-1
"MAPK10"	0	0	0	0.333333333333333	0
"MAP4K5"	0	0	0	0.333333333333333	0
"PACE-1"	0	-1	0	0	0
"PRKAA2"	0.333333333333333	0	0	-0.666666666666667	-1
"OSR1"	0	0	0	0.666666666666667	0
"PPP2CA"	0	0	-0.666666666666667	0	0
"NTRK1"	0	0	0	0	0
"EXOSC10"	0	0	0	0	0.333333333333333
"MAP3K9"	0	0.333333333333333	0.666666666666667	-0.666666666666667	0
"MAP3K4"	0	0	0	0.333333333333333	0
"NPR1"	0	0	-0.666666666666667	-0.666666666666667	0.666666666666667
"PKM2"	0	-0.333333333333333	0	0.333333333333333	0
"NME3"	0	0	0	0	0.666666666666667
"NME1"	0	-1	0	1	0
"AURKA"	0.666666666666667	0	0.666666666666667	-1.33333333333333	-0.333333333333333
"STK39"	-0.666666666666667	0	0	0	0
"STK38L"	0	0.333333333333333	0.666666666666667	-0.333333333333333	0
"STK38"	0	0.333333333333333	0	0	0
"STK22C"	0	-1	0	0	-0.666666666666667
"PLK4"	0	0	0	0	0.666666666666667
"STK11"	0	0	0	-1	-0.333333333333333
"ABI1"	-0.333333333333333	0	0	1	1
"WEE1"	1	0	0	0	0
"SPA17"	0	-1	0	-0.333333333333333	-0.666666666666667
"SNRK"	0	0	0.666666666666667	-0.666666666666667	-0.333333333333333
"PLK2"	0	0	0	-0.333333333333333	0
"SMG1"	0	0	1	0	0
"TTK"	0	0	-1	0.666666666666667	0
"SHC1"	0	0.333333333333333	0	0	1
"TTBK2"	0	0	0	-0.666666666666667	-0.333333333333333
"SEPHS1"	0	0	0	-0.333333333333333	0
"TRIM"	0	0	0	0	0.666666666666667
"RPS6KL1"	0	0.666666666666667	0	0	0
"TNK1"	0	0	0	-1	0
"TLR6"	0	0	0	0	-0.333333333333333
"TLR4"	0	0	0	-0.666666666666667	-0.666666666666667
"RPS6KA2"	0	-1	-0.666666666666667	0	1
"TK1"	0	-0.333333333333333	0	0	0
"ROR2"	0	0	0	0	-0.666666666666667
"TEX14"	0	0.333333333333333	0.333333333333333	-0.666666666666667	-0.333333333333333
"TESK1"	0	-1	-0.666666666666667	0	0
"AVPR1A"	0	0	0	0.333333333333333	0
"AURKB"	-0.333333333333333	-1	0.666666666666667	-0.666666666666667	0
"HIPK4"	0	0.666666666666667	0	0.333333333333333	0.666666666666667
"ACVR1C"	0	0	0	0	1
"EPHA2"	0	0	0	0.333333333333333	0
"GUK1"	0	0	0	0	-0.666666666666667
"EEF2K"	0	0	0	0	0
"AKT3"	0	0.666666666666667	0	-0.333333333333333	0
"CDK4"	0	0.666666666666667	0	0	0
"AKT2"	0	1	0.333333333333333	-0.333333333333333	-0.333333333333333
"CDK3"	0.333333333333333	0.333333333333333	0	0	-0.333333333333333
"AKT1"	0	-0.333333333333333	0.333333333333333	-0.666666666666667	-0.666666666666667
"CDK2"	0	1	0	0	0
"GSK3A"	0	0	0	0	0.666666666666667
"DUSP5"	0	0.666666666666667	0	0	0
"AKAP11"	0	0	0	0.333333333333333	0.666666666666667
"CD4"	0	0	-0.666666666666667	0	0
"AK2"	0	0.333333333333333	0.666666666666667	0	0
"CCRK"	0	0	0	-0.333333333333333	-0.333333333333333
"AK1"	0	0.666666666666667	-0.333333333333333	0	0
"CASK"	0	-1	0	-1	0
"GK2"	0	0	0	0.333333333333333	0.666666666666667
"DNAJC3"	0	1	0	-1	0
"FYN"	0	0	0	0	1
"ADRA1A"	0	0.333333333333333	0	0	0
"ADCK1"	0	0.666666666666667	0	0	0
"ADAM9"	0	0	0	0	1
"CAMK2B"	0	0.666666666666667	0	0	-0.333333333333333
"DLG1"	0	0.333333333333333	0	0	1
"DKFZP761P0423"	0	0	-0.666666666666667	0	0
"FRAP1"	0	0	0	0.666666666666667	0
"DGKQ"	0	0	0	0	0.333333333333333
"TPRXL"	0	0	1	-0.333333333333333	-0.333333333333333
"CAMK2A"	0	0	-0.666666666666667	-0.333333333333333	0
"ACVR2B"	0	0	0	-0.333333333333333	-1
"ACVR1"	0	0.666666666666667	0	0	0
"CLK4"	0	0.666666666666667	0	0	0
"DGKG"	0	0	0	0	0
"DGKE"	0	0.333333333333333	0.666666666666667	0	-0.666666666666667
"DGKD"	0	0.666666666666667	0	0	0
"THNSL1"	0	0	0	-0.666666666666667	-0.666666666666667
"DCAMKL1"	0	0.666666666666667	0	0	0
"MASTL"	0	0	-0.666666666666667	0.333333333333333	0
"CLK2"	0	0	0	0	0
"TP53RK"	0	0	-0.333333333333333	0	0
"CKS2"	0	0	0	0	-0.333333333333333
"BUB1"	0	0	-0.666666666666667	0	0
"BMX"	0	0.333333333333333	0	0.666666666666667	0
"BMPR2"	0	0.666666666666667	0	0	0.333333333333333
"DAPK2"	0	-1	0	-0.333333333333333	0.333333333333333
"FLJ13052"	0	0.333333333333333	0	-0.666666666666667	0
"DAPK1"	-0.333333333333333	0	-1	1	1
"FLJ12476"	0	0	-0.333333333333333	0.333333333333333	0
"CXCL10"	0	0	0	0	0
"CSNK2B"	0	0	-0.333333333333333	0	1
"FLJ10074"	0	0	0	0	-0.666666666666667
"CHUK"	0	0	-1	0	0
"BMPR1B"	0	0	-1	0.333333333333333	0
"CHRM1"	0	0	0	0.333333333333333	0.333333333333333
"BMPR1A"	0	0	-0.666666666666667	0	0
"CHKB"	0	0	0	-0.666666666666667	-0.666666666666667
"BLNK"	0	1	0.333333333333333	0	0.333333333333333
"CHEK2"	0	0	0	0	0
"AAK1"	0	0.333333333333333	0	0.666666666666667	0.666666666666667
"CSNK1D"	0	1	0	0	1
"FGFR1"	0	0	-0.666666666666667	0.666666666666667	1
"CSNK1A1"	0	0	-1	0.333333333333333	1
"FASTK"	0.333333333333333	0	0	-0.333333333333333	0
"CRKL"	0	0	0	-0.333333333333333	1
"CRK7"	0	0	-1	0	0
"COL4A3BP"	0	0	0	0	0.333333333333333
"PLK3"	0	0	-1	0.666666666666667	1.33333333333333
"ERBB2"	0	0	0	0.333333333333333	0
"MAP3K2"	0	0	-0.333333333333333	0	0
"MAP3K13"	0	0	0	0	0.666666666666667
"NEK2"	0	0	0	0	0.666666666666667
"MAP3K10"	0	0.666666666666667	0	0.333333333333333	0
"NEK11"	0.333333333333333	-0.333333333333333	0	-1	-0.333333333333333
"MAP2K6"	-0.333333333333333	-0.333333333333333	1	-0.333333333333333	-0.333333333333333
"PIP5K2A"	0	0	0	-1	0
"PIK3R3"	0.333333333333333	-0.333333333333333	1	-0.666666666666667	0
"MAP2K5"	0	0	0	0.333333333333333	0.666666666666667
"MAP2K4"	0	0	0	-0.333333333333333	0.333333333333333
"MAP2K3"	0	0.666666666666667	0	-0.333333333333333	0
"MAP2K2"	0	1	0	0.333333333333333	0
"MVK"	0	1	0	-0.333333333333333	0
"PIK3CG"	0	0.666666666666667	0	0	0.333333333333333
"PSKH1"	0	0.666666666666667	-0.333333333333333	1	0
"TAO1"	0	0	0	0.333333333333333	0
"LYK5"	0	0	0	-0.333333333333333	0
"MPP1"	0	0.666666666666667	0	0	0
"PRPS1L1"	0	0	0	0	-0.666666666666667
"PRPSAP1"	0	0	0	0	1
"MGC8407"	0	0.333333333333333	-0.333333333333333	0	0.666666666666667
"MGC5601"	0	0.666666666666667	-0.333333333333333	0	0.333333333333333
"LCK"	0	0.666666666666667	0	0	0
"PIP5KL1"	0	1	0	-0.333333333333333	0
"MGC45428"	0.666666666666667	-0.333333333333333	0	-1	-1
"CSNK1A1L"	0	1	0	0.666666666666667	0.666666666666667
"MGC26597"	0	0.666666666666667	0	0	0.333333333333333
"PFKFB3"	0	0	0	0	0
"PRKRA"	0	0	-0.666666666666667	0	0
"PDPK1"	0	0	0	-0.333333333333333	1
"PRKDC"	0	0	0	-0.333333333333333	0.666666666666667
"PDK2"	0	0.666666666666667	0	-0.666666666666667	0
"PDK1"	0	1	0	-0.333333333333333	0
"KIF13B"	0	0	0	-0.333333333333333	0
"KIAA1811"	0	0.666666666666667	0	0	0
"PDGFRA"	0	1	0	0	1
"PRKCB1"	0	0.666666666666667	0	0	0
"TNIK"	-0.333333333333333	0	0	0	0
"MARK1"	0	0	0	0.333333333333333	1
"KHK"	0	0	0	-0.666666666666667	0
"MAPKAPK3"	0	0.666666666666667	0.666666666666667	0.333333333333333	0
"JIK"	0	0	0	0	-0.666666666666667
"PAK1"	0	1	0	0	0
"ITK"	-0.333333333333333	0	0	0.333333333333333	0
"MAPK4"	0	0	-0.666666666666667	0.333333333333333	0
"IRAK2"	0	0.666666666666667	0	0	0
"MAPK13"	0	0.666666666666667	0	0.333333333333333	0
"INSR"	0	0	0	0	0.666666666666667
"PPP4C"	0	0	0	-0.333333333333333	0.333333333333333
"NTRK3"	0	0	-0.333333333333333	0.333333333333333	0
"PPP1R1B"	0	-0.666666666666667	0	-0.333333333333333	-0.666666666666667
"NPR2"	0	0	0	0.333333333333333	0
"ILK"	-0.333333333333333	0.333333333333333	-0.666666666666667	0	0.666666666666667
"MAP4K4"	0	0	-0.333333333333333	0	0.333333333333333
"IL2"	0	0	0	0	0.666666666666667
"MAP4K3"	0	0	0	0	1
