"Yield","Northing","Easting","TimeStamp"
43.57735875,399.412926972353,3.27464985132696,"2013-09-30 18:47:00"
47.40136038,397.466722350124,3.25795806492476,"2013-09-30 18:47:01"
46.38476551,395.501496920965,3.21606277408125,"2013-09-30 18:47:02"
49.19994527,393.534170355502,3.25762646237553,"2013-09-30 18:47:03"
42.86166263,391.632421342536,3.25895295111695,"2013-09-30 18:47:04"
47.11753487,389.736533391719,3.25397857670794,"2013-09-30 18:47:05"
47.02486407,387.87017192856,3.21738928481517,"2013-09-30 18:47:06"
50.71981826,385.988881342224,3.22324800180797,"2013-09-30 18:47:07"
44.89369882,384.095758043527,3.22789076267156,"2013-09-30 18:47:08"
51.48833756,382.211149874962,3.22943834491338,"2013-09-30 18:47:09"
46.70069282,380.321675917974,3.23993980077734,"2013-09-30 18:47:10"
44.50209611,378.437731265226,3.27343392661555,"2013-09-30 18:47:11"
45.44076305,376.560421767508,3.30659641848666,"2013-09-30 18:47:12"
43.45421446,374.679462939081,3.34152757510384,"2013-09-30 18:47:13"
40.65963603,372.793748909511,3.34683357248372,"2013-09-30 18:47:14"
39.95820771,370.886691763721,3.35545581999321,"2013-09-30 18:47:15"
45.65818063,368.99102498589,3.36363589149812,"2013-09-30 18:47:16"
46.35318876,367.093810002652,3.37314245959891,"2013-09-30 18:47:17"
47.59053051,365.183877629249,3.34373838600754,"2013-09-30 18:47:18"
43.13522473,363.239995304523,3.34782843668347,"2013-09-30 18:47:19"
46.85966455,361.296334162999,3.33986942726114,"2013-09-30 18:47:20"
47.40136038,359.354442398297,3.36518347373993,"2013-09-30 18:47:21"
44.12824143,357.396736823187,3.36872080637374,"2013-09-30 18:47:22"
42.78083329,355.442459416799,3.40055679693637,"2013-09-30 18:47:23"
39.68164987,353.487407907315,3.42730787262326,"2013-09-30 18:47:24"
40.35541971,351.531471709027,3.44554724283824,"2013-09-30 18:47:25"
40.49430879,349.584935328889,3.42653405950989,"2013-09-30 18:47:26"
37.19283901,347.67754642519,3.38010656083657,"2013-09-30 18:47:27"
44.29571822,345.826777600239,3.36485181620952,"2013-09-30 18:47:28"
40.24638605,343.966940715831,3.33135769979668,"2013-09-30 18:47:29"
43.31439687,342.08100551406,3.28106124394782,"2013-09-30 18:47:30"
41.54815636,340.17251074857,3.25298366852326,"2013-09-30 18:47:31"
50.95016699,338.267554739082,3.29510006543427,"2013-09-30 18:47:32"
44.01425481,336.355852977855,3.30471718813976,"2013-09-30 18:47:33"
45.79712798,334.457532133612,3.31687679027556,"2013-09-30 18:47:34"
37.3674627,332.52316022296,3.41724861789817,"2013-09-30 18:47:35"
40.29427539,330.586355418882,3.43416147580831,"2013-09-30 18:47:36"
35.87010092,328.653974058824,3.44300478540038,"2013-09-30 18:47:37"
34.21564461,326.794911276727,3.48324196296079,"2013-09-30 18:47:38"
39.1819477,324.953099925524,3.55023020521185,"2013-09-30 18:47:39"
37.18365081,323.111067390334,3.58173454924025,"2013-09-30 18:47:40"
37.84576699,321.245811798395,3.48854790535944,"2013-09-30 18:47:41"
36.70011123,319.39216773483,3.432945463127,"2013-09-30 18:47:42"
35.92888093,317.502140847733,3.4367038892612,"2013-09-30 18:47:43"
32.73568594,315.59043907472,3.46787665273285,"2013-09-30 18:47:44"
34.84904557,313.661043549984,3.46666068403647,"2013-09-30 18:47:45"
35.0769538,311.721474093786,3.4259813508931,"2013-09-30 18:47:46"
36.16047768,309.782125798788,3.43935689973279,"2013-09-30 18:47:47"
35.83304689,307.798211330035,3.42874490340222,"2013-09-30 18:47:48"
37.96504502,305.803569989496,3.43405090235296,"2013-09-30 18:47:49"
36.49654745,303.816559099714,3.44919511750959,"2013-09-30 18:47:50"
35.27994874,301.810748574416,3.46621852845351,"2013-09-30 18:47:51"
35.08291425,299.808366218627,3.48081002399709,"2013-09-30 18:47:52"
39.2172755,297.826663460884,3.49042714670259,"2013-09-30 18:47:53"
38.13999263,295.86752026686,3.48235760780983,"2013-09-30 18:47:54"
38.39508869,293.92330619444,3.51673606680652,"2013-09-30 18:47:55"
33.24864772,291.980972085337,3.52027338844408,"2013-09-30 18:47:56"
31.26031611,290.031449880878,3.52237367930269,"2013-09-30 18:47:57"
25.39359536,288.091548666771,3.53630192576293,"2013-09-30 18:47:58"
30.54003633,286.148108696662,3.58394538213639,"2013-09-30 18:47:59"
32.13613797,284.197038286797,3.58151345416894,"2013-09-30 18:48:00"
41.7235934,282.26543102905,3.57698123691381,"2013-09-30 18:48:01"
37.43550648,280.331833221494,3.58217670482321,"2013-09-30 18:48:02"
34.84904557,278.398677758339,3.59466790950825,"2013-09-30 18:48:03"
35.21140385,276.483326656189,3.60295853247601,"2013-09-30 18:48:04"
35.44242951,274.592525665995,3.53950761029165,"2013-09-30 18:48:05"
35.07390126,272.68159800708,3.49263794660999,"2013-09-30 18:48:06"
32.24569063,270.786041814957,3.44543666781198,"2013-09-30 18:48:07"
32.41599117,268.904198298511,3.41459553987823,"2013-09-30 18:48:08"
32.28450191,267.005213937665,3.342964560327,"2013-09-30 18:48:09"
31.95054583,265.08234298068,3.35468199588354,"2013-09-30 18:48:10"
36.32829183,263.1944172291,3.3593247551762,"2013-09-30 18:48:11"
39.20276148,261.274421510728,3.35523471549652,"2013-09-30 18:48:12"
44.01425481,259.362609152793,3.3875128836346,"2013-09-30 18:48:13"
45.73357423,257.449690955069,3.36429912958528,"2013-09-30 18:48:14"
46.11094048,255.54307614268,3.33334746118487,"2013-09-30 18:48:15"
48.89720789,253.631042623545,3.32583062933804,"2013-09-30 18:48:16"
